localword,tweetid,type
107th ave_0,"[[777551944655118338, 778612797764698113]]",topic 48
107th ave_0,"[[777551944655118338, 778612797764698113]]",topic 47
10below_0,"[[777992778173120512, 778427571000184832]]",topic 33
10below_0,"[[777992778173120512, 778427571000184832]]",topic 34
125th st_0,"[[777529920104833025, 777554638409129984, 777361226594656256, 777877251182497792, 777979861826756609, 778006321215991808, 778041605433462784, 778056665107197952, 778410573012893696, 778665419917893632, 778734734843138048, 778753833472102402, 778945528142958592, 779078940900155392, 779082697356509185, 779091579847909376]]",topic 59
125th st_0,"[[777529920104833025, 777554638409129984, 777361226594656256, 777877251182497792, 777979861826756609, 778006321215991808, 778041605433462784, 778056665107197952, 778410573012893696, 778665419917893632, 778734734843138048, 778753833472102402, 778945528142958592, 779078940900155392, 779082697356509185, 779091579847909376]]",topic 58
12s_2,"[[777555496836431876, 777586776722575360, 777600475247939584, 777690762406424611]]",topic 36
12s_2,"[[777555496836431876, 777586776722575360, 777600475247939584, 777690762406424611]]",topic 37
12south_0,"[[778445073293856769, 778901570142347264, 779020288205975553, 779090533692178432]]",topic 28
12thman_3,"[[777586962479865860, 777612339151511552]]",topic 37
12thman_3,"[[777586962479865860, 777612339151511552]]",topic 36
137th ave_1,"[[778736720737017857, 779028390330466308]]",topic 48
137th ave_1,"[[778736720737017857, 779028390330466308]]",topic 47
14er_0,"[[777636113812951040, 777709555341987840, 777920035461406722, 777979011377033216, 777997088634314752]]",topic 81
14er_0,"[[777636113812951040, 777709555341987840, 777920035461406722, 777979011377033216, 777997088634314752]]",topic 82
17miledrive_0,"[[777616809017085957, 777645764856209408, 778260040012730368]]",topic 49
17miledrive_0,"[[777616809017085957, 777645764856209408, 778260040012730368]]",topic 47
20th century fox_0,"[[777576558798245890, 777589329384312832, 777886696037687297, 778279422612926464, 778330557507919872, 778417111546953728, 778417392309460993, 778439928786984960, 779031187545165824]]",topic 36
20th century fox_0,"[[777576558798245890, 777589329384312832, 777886696037687297, 778279422612926464, 778330557507919872, 778417111546953728, 778417392309460993, 778439928786984960, 779031187545165824]]",topic 37
23rd street station_0,"[[777615329535135745, 777667675015249920]]",topic 48
23rd street station_0,"[[777615329535135745, 777667675015249920]]",topic 47
2blokesbrewing_0,"[[777658980457910272, 778371295142608896]]",topic 33
2blokesbrewing_0,"[[777658980457910272, 778371295142608896]]",topic 34
2roadsbrewing_1,"[[777590412492103684, 778177311426416640, 778402697678577664, 778715144125751297, 778719754584330240]]",topic 34
2roadsbrewing_1,"[[777590412492103684, 778177311426416640, 778402697678577664, 778715144125751297, 778719754584330240]]",topic 33
2sp_0,"[[778380305841414144, 778391466938867712]]",topic 33
2sp_0,"[[778380305841414144, 778391466938867712]]",topic 34
30_0,"[[779118702923046912, 779158498156376064, 779162046910857216, 779162094562381825, 779162777004965888]]",topic 37
30_0,"[[779118702923046912, 779158498156376064, 779162046910857216, 779162094562381825, 779162777004965888]]",topic 36
34th street_0,"[[777521522495918080, 777526074175549443, 777853064732475392, 777885820178931713, 777963012036567040, 778415232142217216, 778610785828368384, 778678050816831490, 778687026912571392, 778734989345103872]]",topic 48
34th street_0,"[[777521522495918080, 777526074175549443, 777853064732475392, 777885820178931713, 777963012036567040, 778415232142217216, 778610785828368384, 778678050816831490, 778687026912571392, 778734989345103872]]",topic 47
3floyds_0,"[[777567302829113345, 777575790460411904, 777580436327428097]]",topic 33
3floyds_0,"[[777567302829113345, 777575790460411904, 777580436327428097]]",topic 34
42northbrewing_0,"[[777689689436323840, 779103307688206336]]",topic 34
42northbrewing_0,"[[777689689436323840, 779103307688206336]]",topic 33
49ers_0,"[[777511902096330756, 777540962755174400, 777543114957418500, 777545687403786241]]",topic 36
49ers_0,"[[777511902096330756, 777540962755174400, 777543114957418500, 777545687403786241]]",topic 37
53rd st_0,"[[778304689582567424, 778307167841419265, 778744191455113217]]",topic 48
53rd st_0,"[[778304689582567424, 778307167841419265, 778744191455113217]]",topic 47
5th ave_0,"[[778313992594984960, 778343310377226240, 778564613155590144]]",topic 5
5th ave_0,"[[778313992594984960, 778343310377226240, 778564613155590144]]",topic 2
69th regiment armory_0,"[[777534134977720321, 777572266221539328, 777582872697778176, 777625914381250560, 777626742102040576, 777647218211819521, 777656553772032001]]",topic 34
69th regiment armory_0,"[[777534134977720321, 777572266221539328, 777582872697778176, 777625914381250560, 777626742102040576, 777647218211819521, 777656553772032001]]",topic 33
69th_1,"[[777523030381568000, 777531692412174336, 777544032687841280, 777567095873757185, 777655980079321088]]",topic 34
69th_1,"[[777523030381568000, 777531692412174336, 777544032687841280, 777567095873757185, 777655980079321088]]",topic 33
a321_0,"[[778665385709211652, 778725957360246785]]",topic 0
a3c_0,"[[778177348269211648, 778394457385365504, 778440725021073409, 778604564115132416, 778616488282447872, 778671193511591936, 778683754705326081, 779103545589104641, 779124788228784128]]",topic 61
a3c_0,"[[778177348269211648, 778394457385365504, 778440725021073409, 778604564115132416, 778616488282447872, 778671193511591936, 778683754705326081, 779103545589104641, 779124788228784128]]",topic 58
a7x_2,"[[778833260881117184, 778835540443475968, 778936773887922176, 778943922932449280, 779084044185239552]]",topic 58
a7x_2,"[[778833260881117184, 778835540443475968, 778936773887922176, 778943922932449280, 779084044185239552]]",topic 63
abq_1,"[[777377684292636672, 777900332483424257, 778099306662391809, 779091081111543810, 779120203015852032, 779127587461328897]]",topic 11
abq_1,"[[777377684292636672, 777900332483424257, 778099306662391809, 779091081111543810, 779120203015852032, 779127587461328897]]",topic 13
acadianationalpark_1,"[[777522014366072832, 778261794246778884, 778324682042908672, 778473784726720512]]",topic 82
acadianationalpark_1,"[[777522014366072832, 778261794246778884, 778324682042908672, 778473784726720512]]",topic 81
ace hotel_0,"[[777406771757449216, 777359313824251904, 777868009188851712, 777971111090851840, 778246392552751104]]",topic 63
ace hotel_0,"[[777406771757449216, 777359313824251904, 777868009188851712, 777971111090851840, 778246392552751104]]",topic 58
acreativedc_1,"[[777846832554729472, 777848747510366208, 778035148747145216, 778698117705117696, 778744373315899396, 779036149763436545]]",topic 3
acreativedc_1,"[[777846832554729472, 777848747510366208, 778035148747145216, 778698117705117696, 778744373315899396, 779036149763436545]]",topic 2
actress_2,"[[777554547203936256, 777678123781554176, 777945240661532672, 778383249974239233]]",topic 8
actress_2,"[[777554547203936256, 777678123781554176, 777945240661532672, 778383249974239233]]",topic 7
actress_7,"[[777641315999682560, 777670165584572418, 777674091281002496, 777796092620599296, 778416474901716993]]",topic 37
actress_7,"[[777641315999682560, 777670165584572418, 777674091281002496, 777796092620599296, 778416474901716993]]",topic 36
actress_8,"[[778300508448690176, 778357742616584193, 778610339571232768]]",topic 5
actress_8,"[[778300508448690176, 778357742616584193, 778610339571232768]]",topic 2
adcolor_0,"[[777700847270625280, 777952970344435712, 777961603694231552, 778029408217096192, 778337705608359936, 778375372492541952, 778441445912907776, 778587298036224000, 778606395738329089, 778663387316170752, 778709087819223041, 778720314762989568, 778961905222242304, 779018297861738496, 779026288505974785]]",topic 32
adcolor_0,"[[777700847270625280, 777952970344435712, 777961603694231552, 778029408217096192, 778337705608359936, 778375372492541952, 778441445912907776, 778587298036224000, 778606395738329089, 778663387316170752, 778709087819223041, 778720314762989568, 778961905222242304, 779018297861738496, 779026288505974785]]",topic 29
addison circle_0,"[[777694170312040448, 777700281693900804, 777864765477625856]]",topic 34
addison circle_0,"[[777694170312040448, 777700281693900804, 777864765477625856]]",topic 33
